   locktype    | database | relation | page | tuple | virtualxid | transactionid | classid | objid | objsubid | virtualtransaction |  pid  |      mode       | granted | fastpath 
---------------+----------+----------+------+-------+------------+---------------+---------+-------+----------+--------------------+-------+-----------------+---------+----------
 relation      |    16416 |    16502 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | t
 relation      |    16416 |    16501 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | t
 relation      |    16416 |    16500 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | t
 relation      |    16416 |    16499 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | t
 relation      |    16416 |    16498 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | t
 relation      |    16416 |    16497 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | t
 relation      |    16416 |    16496 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | t
 relation      |    16416 |    16495 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | t
 relation      |    16416 |    16494 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | t
 relation      |    16416 |    16492 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | t
 relation      |    16416 |    16745 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | t
 relation      |    16416 |    16589 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | t
 relation      |    16416 |    16482 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | t
 relation      |    16416 |    17361 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | t
 relation      |    16416 |    16769 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | t
 relation      |    16416 |    16762 |      |       |            |               |         |       |          | 4/296089           | 10112 | RowShareLock    | t       | t
 virtualxid    |          |          |      |       | 4/296089   |               |         |       |          | 4/296089           | 10112 | ExclusiveLock   | t       | t
 relation      |    16416 |    11187 |      |       |            |               |         |       |          | 3/2392366          |  5969 | AccessShareLock | t       | t
 virtualxid    |          |          |      |       | 3/2392366  |               |         |       |          | 3/2392366          |  5969 | ExclusiveLock   | t       | t
 relation      |    16416 |    16873 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |        0 |     1262 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    17376 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |     2659 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16722 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |     2703 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    17351 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |     2663 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16544 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16645 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    17356 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |     2685 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    17354 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |     3085 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16694 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16697 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
